date,average,maximum,minimum
20170201,55,70,40
20170202,59,70,40
20170203,41,50,20
20170204,33,60,10
20170205,22,40,10
20170206,20,40,10
20170207,52,60,40
20170208,64,70,60
20170209,60,70,50
20170210,45,60,30
20170211,54,80,40
20170212,65,80,40
20170213,61,80,50
20170214,39,60,10
20170215,36,50,20
20170216,52,70,40
20170217,50,80,10
20170218,30,40,10
20170219,50,70,30
20170220,71,90,40
20170221,65,120,40
20170222,97,130,60
20170223,127,170,30
20170224,50,90,20
20170225,74,100,40
20170226,80,100,70
20170227,89,110,70
20170228,78,110,50
