date	FG	FHX	FHN	
20180201	65	90	50
20180202	49	100	20
20180203	38	60	20
20180204	58	90	30
20180205	56	60	40
20180206	45	70	20
20180207	18	30	10
20180208	40	60	20
20180209	59	80	20
20180210	50	90	10
20180211	95	130	60
20180212	60	90	40
20180213	63	90	40
20180214	74	100	40
20180215	67	100	40
20180216	43	70	10
20180217	22	30	10
20180218	31	50	20
20180219	33	50	20
20180220	23	40	10
20180221	33	50	20
20180222	53	70	40
20180223	59	80	30
20180224	78	90	70
20180225	72	80	60
20180226	64	80	50
20180227	44	60	30
20180228	80	100	50
