country;HPI;population;GDPpcap;lifeExp;region;footprint;wellbeing;renewableEnergy;hunger;qualityOfLife;purchasingPower;climate
Afghanistan;20.2;29726803;691;59.7;Middle East and North Africa;0.8;3.4;1.674.899.642;65.2;;;
Albania;36.8;2900489;4247;77.3;Post-communist;2.2;5.1;386.894.966;88.1;;;
Algeria;33.3;37439427;5584;74.3;Middle East and North Africa;2.1;5.2;0.068775439;91.3;;;
Argentina;35.2;42095224;14357;75.9;Americas;3.1;6;1.077.312.486;95;138.48;74.92;91.7
Armenia;25.7;2978339;3566;74.4;Post-communist;2.2;3.7;7.724.733.865;91.3;;;
Australia;21.2;22728254;67646;82.1;Asia Pacific;9.3;6.9;9.497.567.815;;198.79;147.25;77.33
Austria;30.5;8429991;48324;81;Europe;6.1;7.1;3.578.392.667;;192.4;120.46;63.76
Bangladesh;38.4;155257387;859;70.8;Asia Pacific;0.7;4.3;3.748.503.198;72.9;;;
Belarus;21.7;9464000;6722;70.9;Post-communist;5.1;5.3;6.634.181.148;95;;;
Belgium;23.7;11128246;44731;80.4;Europe;7.4;6.6;9.038.057.111;;162.29;106.69;76.97
Belize;33.8;336707;4674;69.8;Americas;2.5;5.7;3.654.403.749;;;;
Benin;13.4;10049792;808;59.2;Sub Saharan Africa;1.4;2.8;4.860.073.637;76.8;;;
Bhutan;28.6;743711;2452;68.7;Asia Pacific;2.3;5.2;86.660.533;;;;
Bolivia;23.3;10238762;2645;67.5;Americas;3;5.5;1.681.796.221;84.6;;;
Bosnia and Herzegovina;25.3;3828419;4495;76.2;Post-communist;3.1;4.2;4.174.546.069;95;146.7;60.64;75.31
Botswana;16.6;2132822;6936;64.2;Sub Saharan Africa;3.8;4.3;2.916.849.718;77;;;
Brazil;34.3;202401584;12157;73.9;Americas;3.1;6.3;4.181.093.085;95;101.02;48.69;72.6
Bulgaria;20.4;7305888;7333;73.9;Post-communist;3.3;3.7;1.696.708.383;91.7;141.61;59.19;77.8
Burkina Faso;17.9;16590813;673;58;Sub Saharan Africa;1.2;3.6;7.648.121.026;69;;;
Burundi;15.6;10124572;244;55.8;Sub Saharan Africa;0.8;3;9.004.661.449;;;;
Cambodia;25.6;14832255;946;67.5;Asia Pacific;1.2;3.5;6.795.334.784;78.3;;;
Cameroon;16.7;21659488;1222;54.6;Sub Saharan Africa;1.2;3.7;7.738.821.693;77.1;;;
Canada;23.9;34751476;52738;81.7;Americas;8.2;7.1;2.257.580.705;;177.23;134.81;46.23
Chad;12.8;12715465;973;50.8;Sub Saharan Africa;1.5;3.7;8.924.006.473;55.7;;;
Chile;31.7;17388437;15253;81.1;Americas;4.4;6.1;2.641.527.897;95;147.26;78.4;85.68
China;25.7;1350695000;6265;75.4;Asia Pacific;3.4;4.6;1.709.945.969;92.3;99.03;77.42;46.59
Colombia;40.7;46881018;7885;73.7;Americas;1.9;5.7;245.170.199;91.5;128.46;45.99;84.51
Comoros;23.1;733661;750;62.6;Sub Saharan Africa;1;3.7;4.649.399.305;;;;
Costa Rica;44.7;4654148;9733;79.1;Americas;2.8;6.8;3.786.890.976;95;;;
Cote d'Ivoire;14.4;21102641;1281;50.8;Sub Saharan Africa;1.3;3.5;7.083.529.197;74.3;;;
Croatia;30.2;4267558;13236;77;Post-communist;3.9;5.5;3.364.663.703;95;172.39;67.89;85.64
Cyprus;30.7;1129303;28868;79.8;Europe;4.2;5.7;9.389.138.187;;;;
Czech Republic;27.3;10510785;19641;78.2;Post-communist;5.2;5.9;1.275.266.949;;167.38;89.99;63.48
Denmark;32.7;5591572;57636;79.8;Europe;5.5;7.2;3.021.992.724;;206.49;142.14;70.65
Djibouti;16.4;853069;1587;61.3;Sub Saharan Africa;2.2;3.8;3.415.104.422;67.3;;;
Dominican Republic;30.3;10155036;5967;73.1;Americas;1.5;4.1;183.784.571;88.9;;;
Ecuador;37;15419493;5702;75.4;Americas;2.2;5.5;1.221.814.004;86.1;;;
Egypt;23.8;85660902;3226;70.7;Middle East and North Africa;2.2;3.7;6.412.560.754;86.3;88.79;40.3;79.72
El Salvador;35.6;6072233;3922;72.5;Americas;2.1;5.3;2.816.552.091;88.8;;;
Estonia;17.9;1322696;17491;76.2;Post-communist;6.9;5;2.524.914.376;95;;;
Ethiopia;26.7;92191211;470;62.8;Sub Saharan Africa;1;4.2;9.271.904.179;66.6;;;
Finland;31.3;5413971;47416;80.4;Europe;5.9;7.2;4.119.126.143;;184.01;132.93;32.56
France;30.4;65639975;40850;81.8;Europe;5.1;6.3;1.313.263.803;;173.56;118.51;78.3
Gabon;17.5;1613489;10642;63.3;Sub Saharan Africa;2;3.5;81.046.204;88;;;
Georgia;31.1;3825000;4143;74.6;Post-communist;1.6;3.8;3.189.297.959;91.8;;;
Germany;29.8;80425823;44011;80.6;Europe;5.3;6.4;1.337.887.765;;199.7;147.61;63.02
Ghana;21.4;25544565;1642;61;Sub Saharan Africa;2;4.6;4.521.818.084;86.1;;;
Greece;23.6;11045011;22243;80.5;Europe;4.4;4.5;1.608.579.315;;165.43;79.27;87.14
Guatemala;34.2;15368759;3279;71.4;Americas;1.9;5.2;5.990.320.153;79.3;;;
Guinea;15.9;11628767;487;57.7;Sub Saharan Africa;1.4;3.3;8.001.224.676;71.9;;;
Haiti;28.6;10288828;767;62.1;Americas;0.6;4;7.839.122.587;63.1;;;
Honduras;27.2;7736131;2395;72.8;Americas;1.7;3.9;5.404.094.344;86.8;;;
Hong Kong;16.8;7154600;36708;83.6;Asia Pacific;8.8;5.1;1.792.585.103;;108.33;102.32;39.9
Hungary;26.4;9920362;12820;74.9;Post-communist;2.9;4.2;1.036.063.762;;140.74;56.3;66.89
Iceland;31.1;320716;44259;82.2;Europe;6.4;7.4;7.642.294.532;;;;
India;29.2;1263589639;1450;67.3;Asia Pacific;1.2;4.2;3.653.617.235;71.5;109.28;89.65;19.66
Indonesia;35.7;248037853;3701;68.5;Asia Pacific;1.6;5.1;3.806.613.938;78.1;72.19;35.51;7.98
Iran;24;76156975;7711;74.8;Middle East and North Africa;2.8;4;0.937924133;93.3;96.93;47.73;74.61
Iraq;26.5;32780975;6649;69;Middle East and North Africa;1.9;4.3;0.912104698;78;;;
Ireland;30;4586897;48977;80.5;Europe;5.6;6.7;8.471.724.021;;171.92;125.66;73.07
Israel;28.8;7910500;32819;81.9;Middle East and North Africa;6.2;6.8;9.342.675.305;;166.63;115.54;81.89
Italy;28.1;59539717;34844;82.7;Europe;4.6;5.3;17.090.359;;159.28;105.67;86.19
Jamaica;36.9;2707805;5446;75.3;Americas;1.9;5;1.598.840.418;92.1;;;
Japan;28.3;127561489;46679;83.2;Asia Pacific;5;5.6;552.698.149;;176.06;117.55;79.64
Kazakhstan;19.1;16791425;12120;68.6;Post-communist;5.6;5.4;1.362.599.317;92.2;;;
Kenya;24.2;42542978;1185;60.3;Sub Saharan Africa;1;4.1;7.551.816.658;78.1;;;
Kyrgyzstan;33.1;5607200;1178;69.7;Post-communist;1.9;4.9;NAN;90.9;;;
Latvia;17.1;2034319;13775;73.6;Post-communist;6.3;4.7;4.023.606.125;95;;;
Lebanon;21.9;4440728;9729;78.8;Middle East and North Africa;3.8;4;3.203.544.468;92.9;;;
Lesotho;16.7;2057331;1159;48.9;Sub Saharan Africa;1.7;4.3;5.181.579.507;77.3;;;
Liberia;22.2;4190155;414;60.2;Sub Saharan Africa;1.2;4.1;8.981.932.607;69.3;;;
Lithuania;21;2987773;14343;72.8;Post-communist;5.8;5.4;2.807.216.559;95;134.33;61.25;24.42
Luxembourg;13.2;530946;105447;81.1;Europe;15.8;6.7;6.966.288.592;;;;
Macedonia;23.4;2069270;4710;75.1;Post-communist;3.3;4.1;1.830.179.467;94.2;115.03;46.74;80.55
Malawi;22.1;15700436;270;60.1;Sub Saharan Africa;0.8;3.5;8.057.846.674;73.1;;;
